OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 33 DEB,1997-051HN,2024-10-05T07:37:28.251840,14.5482684000,0.0004042000,86.3847000000,220.1158000000,356.0413000000,4.0762000000,0,U,34521,999,82149,0.0079446000,0.0003424300,0E-10
IRIDIUM 33 DEB,1997-051HS,2024-10-05T20:12:49.185216,14.4078605800,0.0007477000,86.3746000000,231.2112000000,80.5351000000,338.8970000000,0,U,34525,999,81849,0.0028108000,0.0000901900,0E-10
IRIDIUM 33 DEB,1997-051HW,2024-10-05T20:41:54.517920,14.3972879000,0.0005693000,86.3680000000,219.7001000000,161.6514000000,198.4891000000,0,U,34529,999,81911,0.0009228400,0.0000290900,0E-10
IRIDIUM 33 DEB,1997-051JF,2024-10-05T05:02:08.401344,14.3844258700,0.0036459000,86.2830000000,194.7902000000,313.9536000000,203.6428000000,0,U,34538,999,81513,0.0060463000,0.0001864200,0E-10
IRIDIUM 33 DEB,1997-051JH,2024-10-05T15:33:15.317280,14.6408555000,0.0019641000,86.3189000000,143.8014000000,228.1306000000,186.0952000000,0,U,34540,999,82658,0.0043953000,0.0002321100,0E-10
IRIDIUM 33 DEB,1997-051JZ,2024-10-05T18:15:10.142784,14.0099666300,0.0209363000,86.4033000000,95.1852000000,210.9708000000,147.8988000000,0,U,34648,999,78871,0.0279040000,0.0005087400,0E-10
IRIDIUM 33 DEB,1997-051KC,2024-10-05T20:23:34.167264,14.1642825800,0.0169192000,86.2855000000,323.6153000000,147.1119000000,214.0733000000,0,U,34651,999,79743,0.0121620000,0.0002790000,0E-10
IRIDIUM 33 DEB,1997-051KD,2024-10-05T23:14:41.100000,14.5586715700,0.0031401000,86.3382000000,171.7678000000,328.7062000000,42.2039000000,0,U,34652,999,82325,0.0043303000,0.0001917500,0E-10
IRIDIUM 33 DEB,1997-051KM,2024-10-05T20:54:03.892032,14.5087701800,0.0012953000,86.3833000000,224.4572000000,39.8494000000,14.4442000000,0,U,34690,999,81807,0.0028227000,0.0001117200,0E-10
IRIDIUM 33 DEB,1997-051KQ,2024-10-05T21:57:23.059872,14.7932533300,0.0017496000,86.3309000000,148.8932000000,131.3214000000,240.2518000000,0,U,34693,999,82491,0.0081397000,0.0006122800,0E-10
