OBJECT_NAME,OBJECT_ID,EPOCH,x,y,z
STARLINK-32436,2024-171R,2024-10-06T04:00:01.999584,5290.997460613151,-10.885008742637106,4193.557001614521
STARLINK-32425,2024-171S,2024-10-06T04:00:01.999584,5460.71799442069,333.6430518074258,3956.7264113622023
STARLINK-32342,2024-171T,2024-10-06T04:00:01.999584,5536.528392861914,505.6731306625284,3831.3041304096755
STARLINK-32423,2024-171U,2024-10-06T04:00:01.999584,5606.240966513759,677.0824704484406,3701.7604428271034
STARLINK-32248,2024-171V,2024-10-06T04:00:01.999584,5669.693875048038,847.625026749525,3568.1419033555994
KINEIS-3C,2024-172A,2024-10-06T05:33:09.082368,-6320.584398159711,-357.82264773978176,-3039.57393937131
KINEIS-3D,2024-172B,2024-10-06T05:32:06.840672,-6103.414541724091,-270.81509127749246,-3462.6777784177707
KINEIS-3E,2024-172C,2024-10-06T05:30:49.656960,-5792.376843482952,-160.62954192960353,-3966.438443963469
KINEIS-3A,2024-172D,2024-10-06T05:26:37.756896,-4501.969906080116,201.46702540901816,-5383.878545433706
KINEIS-3B,2024-172E,2024-10-05T21:16:54.291936,-3680.2128452050565,386.76500529956695,-5965.944034704844
2024-172G,2024-172G,2024-10-06T05:37:06.683232,-5799.798035611484,-197.26920204564072,-3939.3828142615607
2024-173A,2024-173A,2024-10-06T05:26:41.421984,5174.58116423926,-4.077936784827774,-4528.51052214477
2024-173B,2024-173B,2024-10-06T03:49:24.408192,5946.138788871913,-235.28488028379317,-3444.52887265277
2024-173C,2024-173C,2024-10-06T05:24:47.654784,5706.7855021032,-156.87804198690557,-3832.424906398879
2024-173D,2024-173D,2024-10-06T04:05:35.679840,5912.520341326742,-223.39013111780255,-3502.8643596688253
2024-173E,2024-173E,2024-10-06T04:07:34.057344,4933.758885390047,55.88812654729528,-4790.557022549496
2024-173F,2024-173F,2024-10-06T05:23:02.923296,6122.399798374719,-298.2144425229223,-3114.7499448121876
2024-173G,2024-173G,2024-10-06T05:20:40.765056,6544.986008425773,-486.65816457906874,-2046.426628534743
2024-173H,2024-173H,2024-10-06T03:45:23.863680,6651.726553509936,-551.0572487595105,-1645.065843389229
2024-173K,2024-173K,2024-10-06T05:03:49.938624,4370.5517799613035,-1176.1571016395128,5170.000558015762
2024-173L,2024-173L,2024-10-06T04:48:52.017120,-3859.6881410220203,-376.7205560018322,5681.338526718832
2024-174A,2024-174A,2024-10-06T04:14:10.789728,-963.9383565956693,5400.922248354934,-4172.003545226397
2024-174B,2024-174B,2024-10-06T04:15:04.547808,-1072.8871260952471,5624.515500387276,-3835.9225052116562
2024-174C,2024-174C,2024-10-06T04:19:23.285568,-1547.9497042393125,6417.105262580603,-1986.078295281537
2024-174D,2024-174D,2024-10-05T12:26:40.715520,-1291.5113411917705,6032.203488200818,-3074.682669270241
2024-174E,2024-174E,2024-10-06T04:16:21.093024,-1228.6271637304199,5920.392378840627,-3307.6806217787657
STARLINK-11300 [DTC],2024-175A,2024-10-05T22:00:00.999936,-3624.516471881082,3712.378770695268,4259.258799230052
STARLINK-11276 [DTC],2024-175B,2024-10-05T22:00:00.999936,-4065.3458441214857,799.7129788285092,5274.21533020412
STARLINK-11280 [DTC],2024-175C,2024-10-05T22:00:00.999936,-2880.171036451978,-4138.099577227321,4415.130445995575
STARLINK-11308 [DTC],2024-175D,2024-10-05T22:00:00.999936,-3720.916100641883,-1963.1711434062158,5219.003571388286
STARLINK-11305 [DTC],2024-175E,2024-10-05T22:00:00.999936,-1808.0661679225914,-5602.804338025704,3198.9489370996507
STARLINK-11317 [DTC],2024-175F,2024-10-06T06:00:00.999648,-731.6067750187732,-6388.466274629781,1878.2655975393916
STARLINK-11293 [DTC],2024-175G,2024-10-06T06:00:00.999648,200.65627189876696,-6660.710942901582,676.1978513923683
STARLINK-11334 [DTC],2024-175H,2024-10-05T22:00:00.999936,1145.3158446035181,-6574.206397720835,-593.3351767100792
STARLINK-11319 [DTC],2024-175J,2024-10-05T22:00:00.999936,1955.9503511902399,-6169.169134322946,-1729.5559077245787
STARLINK-11318 [DTC],2024-175K,2024-10-05T22:00:00.999936,2635.8033531852225,-5521.79161439873,-2725.5830682179976
STARLINK-11311 [DTC],2024-175L,2024-10-05T22:00:00.999936,3187.6174441711864,-4678.759668357166,-3578.1848307532723
STARLINK-11306 [DTC],2024-175M,2024-10-05T22:00:00.999936,3600.170467729181,-3701.6712889955743,-4263.599069714637
STARLINK-11313 [DTC],2024-175N,2024-10-05T22:00:00.999936,3840.106179295448,-2817.049505751994,-4705.881345661517
STARLINK-32431,2024-175P,2024-10-05T22:00:00.999936,3284.7166727629437,-4500.183822604289,-3732.38179057642
STARLINK-32432,2024-175Q,2024-10-05T22:00:00.999936,3155.065038107215,-4753.232080241474,-3524.453499834969
STARLINK-32382,2024-175R,2024-10-05T22:00:00.999936,3809.2270760321044,-2988.0412318010904,-4640.975760350389
STARLINK-32435,2024-175S,2024-10-05T22:00:00.999936,3452.118062316474,-4122.395676434145,-4007.852848996386
STARLINK-32474,2024-175T,2024-10-05T22:00:00.999936,3525.4187157469737,-3933.727208255546,-4131.751430484387
