OBJECT_NAME,OBJECT_ID,EPOCH,x,y,z,Cluster,Density
IRIDIUM 33 DEB,1997-051ES,2024-10-05T19:31:30.724320,5019.939845364044,1196.866832842719,-4926.321739238346,-1,-28.342380299608806
IRIDIUM 33 DEB,1997-051FA,2024-10-06T03:12:54.842976,-2567.0595172370595,1867.3983003761812,-6059.914382133806,1,-27.577038436100228
IRIDIUM 33 DEB,1997-051FJ,2024-10-05T22:15:25.003008,-3988.447235349599,-5887.172258361481,-524.4893708131927,-1,-28.58849023516665
IRIDIUM 33 DEB,1997-051FT,2024-10-05T17:35:57.544224,-3496.2752850421407,-202.24063550751254,-6403.69870547479,1,-27.32300561286092
IRIDIUM 33 DEB,1997-051FU,2024-10-05T23:39:22.688064,-6734.734970475116,-2318.367197790691,73.45372692333464,4,-27.82655613317629
IRIDIUM 33 DEB,1997-051GB,2024-10-05T19:36:22.836672,-1738.8132801064546,-423.4053614948178,-6810.436584666076,2,-27.397458080423405
IRIDIUM 33 DEB,1997-051GC,2024-10-05T12:56:05.344800,-4172.093813128695,-979.8816481533892,-5736.191783369727,1,-27.46815031004352
IRIDIUM 33 DEB,1997-051GD,2024-10-06T02:05:54.422016,1463.8256474544262,-332.56247365866506,-6861.543331548084,2,-27.31642353004422
IRIDIUM 33 DEB,1997-051GH,2024-10-06T02:05:56.181984,2491.1871005080566,-1138.5936967443004,-6646.244592860512,2,-27.990213650861516
IRIDIUM 33 DEB,1997-051GN,2024-10-06T03:42:31.069728,3738.664709053518,5253.113888054639,3266.3218207711357,0,-28.04151914702621
IRIDIUM 33 DEB,1997-051GU,2024-10-05T19:20:45.314592,-2748.5686739129187,5575.720777074646,3087.5139443779804,-1,-28.930391400136227
IRIDIUM 33 DEB,1997-051GZ,2024-10-05T11:11:06.123840,-208.3150224733116,2423.1131828605526,6682.003272068567,-1,-28.066925046371033
IRIDIUM 33 DEB,1997-051HC,2024-10-05T19:30:15.717888,5335.786836307911,2855.428316345057,-2966.9188105961734,3,-28.14387315308671
IRIDIUM 33 DEB,1997-051HN,2024-10-05T07:37:28.251840,13.147721019485903,590.1326988199711,-7070.317092930906,2,-27.07467427883728
IRIDIUM 33 DEB,1997-051HS,2024-10-05T20:12:49.185216,-2300.8936401918118,-3407.889041677725,5817.465933742515,7,-27.809388109085987
IRIDIUM 33 DEB,1997-051HW,2024-10-05T20:41:54.517920,1827.1983782936134,2038.7669835168995,-6599.445103101726,2,-27.488769855942955
IRIDIUM 33 DEB,1997-051JF,2024-10-05T05:02:08.401344,6945.224860160237,1733.690451493381,207.80326396991902,-1,-28.207712063255865
IRIDIUM 33 DEB,1997-051JH,2024-10-05T15:33:15.317280,-2383.3178857813045,1251.4505716484825,6531.206648029897,6,-27.8240275643261
IRIDIUM 33 DEB,1997-051JZ,2024-10-05T18:15:10.142784,344.4639124107432,1242.3574046791548,-7109.082990971914,2,-27.12454986801388
IRIDIUM 33 DEB,1997-051KC,2024-10-05T20:23:34.167264,-2988.867741152876,1716.7125139645532,-6362.8296770561865,1,-27.518138751603573
IRIDIUM 33 DEB,1997-051KD,2024-10-05T23:14:41.100000,2807.361004077937,-841.8513905677565,6463.691045537919,7,-28.231560078011185
IRIDIUM 33 DEB,1997-051KM,2024-10-05T20:54:03.892032,-2274.1014431768394,-1626.6700077268588,-6537.6079253148755,2,-27.803771789928557
IRIDIUM 33 DEB,1997-051KQ,2024-10-05T21:57:23.059872,1390.3997437870955,-1356.914331335143,6715.625865745154,7,-27.87066397601664
IRIDIUM 33 DEB,1997-051KT,2024-10-06T03:22:03.521856,571.699498532452,1200.739433769566,-7022.041863698436,2,-27.10823408299927
IRIDIUM 33 DEB,1997-051KZ,2024-10-05T17:50:06.279936,-1258.9249233280068,6095.089443706977,-3110.7793091791905,-1,-29.243694586725447
