garbage_index,satellite_index,distance
2,23,13694.688420849414
2,24,13735.857796060378
2,25,13727.464041489782
2,26,13712.858173948704
2,27,13939.337791094445
2,28,5229.272934358451
2,29,10568.948896086358
2,30,10495.468835751995
2,31,13861.050861810192
2,32,5406.729194703763
2,33,6562.205869211825
2,34,8746.202519989894
2,35,10199.545693119002
2,36,11318.909985646716
2,37,12883.33714638279
2,38,13681.324405270685
2,39,13654.088366094094
2,40,13130.135789683341
2,41,12741.896069030294
2,42,8440.37403820168
2,43,11221.841359105647
2,44,12606.15388186038
2,45,13326.069408079456
2,46,13324.302290715026
2,47,12613.17939578709
2,48,9263.345625111027
2,49,6962.806949804675
2,50,11207.673042490604
2,51,4828.647060311083
2,52,3554.6207167936595
2,53,3889.7020923526275
2,54,5254.1674497618105
2,55,6748.332593162998
2,56,5293.97117886412
2,57,4981.290835439522
2,58,5137.3449355619405
2,59,4833.71746572295
2,60,4687.271933460679
2,61,4545.379159132145
2,62,4408.6403956451895
2,63,13178.489790975247
2,64,13193.59456918635
2,65,13193.598769278364
2,66,13051.543629397627
2,67,12891.465654926704
2,68,13197.859838342403
2,69,9453.87908355574
2,70,8839.000883138693
2,71,9050.441548006755
2,72,8870.066793311466
2,73,9616.934603456424
2,74,8665.27213653084
2,75,8138.231121402915
2,76,7952.565129723547
2,77,6305.160974239989
2,78,9609.303406949428
2,79,9057.396301760336
2,80,8852.592201457046
2,81,7843.833177689843
2,82,8415.618528855091
2,83,8545.865446136451
2,84,7632.3705946779355
2,85,9107.912788308488
2,86,11303.99325989703
2,87,10370.725391260534
2,88,11922.853737309273
2,89,12271.935815421823
2,90,12423.47683617416
2,91,12449.655752087574
2,92,12354.179607646238
2,93,12162.923295897132
2,94,11888.53444458333
2,95,11547.742049697867
2,96,11221.284720700733
2,97,11833.374813745368
2,98,11918.791093511894
2,99,11292.62834555121
2,100,11702.970628319823
2,101,11636.607392078779
2,102,11377.304925943401
2,103,11508.429580881892
2,104,10173.770480064968
2,105,6078.6392318718035
2,106,11999.975700025316
2,107,11845.539785750334
2,108,9052.130294689434
2,109,12537.900686441586
3,0,9807.143105216437
3,1,12445.384572900462
3,2,11157.087794651594
3,3,10857.740287931725
3,4,8894.240079110208
3,5,7425.664389523659
3,6,11379.21637551566
3,7,9404.407613706953
3,8,6883.989104039802
3,9,4256.675817124406
3,10,2672.2588623690795
3,11,4068.4716313616664
3,12,6605.029715284372
3,13,6699.821493941243
3,14,9201.197558311982
3,15,11273.941753499526
