OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251 DEB,1993-036DC,2024-10-05T18:54:12.216096,14.55406445,0.0064105,74.0568,189.3749,1.8461,57.068,0,U,33899,999,82526,0.0046926,0.00020993,0
COSMOS 2251 DEB,1993-036DD,2024-10-05T21:23:40.625952,14.55065436,0.0050165,74.0185,102.7435,359.698,116.0529,0,U,33900,999,82732,0.0021029,9.206e-05,0
COSMOS 2251 DEB,1993-036DE,2024-10-05T22:37:26.327712,14.81707109,0.0070354,73.7791,219.6282,68.1531,292.7108,0,U,33901,999,83040,0.0092188,0.00076605,0
COSMOS 2251 DEB,1993-036DJ,2024-10-05T18:45:44.533152,14.32507949,0.0060898,73.8901,36.4533,11.4328,111.1366,0,U,33905,999,81480,0.0035977,9.941e-05,0
COSMOS 2251 DEB,1993-036DK,2024-10-05T17:47:54.368736,14.46809382,0.0041057,74.0348,58.4456,200.7319,280.6656,0,U,33906,999,81729,0.01003,0.00036896,0
COSMOS 2251 DEB,1993-036DL,2024-10-04T14:53:15.931392,14.22666235,0.0128046,74.0711,98.0436,262.941,191.9461,0,U,33907,999,80386,0.0085358,0.0002081,0
COSMOS 2251 DEB,1993-036DM,2024-10-05T22:17:55.550688,14.01499052,0.0238701,73.8406,250.9329,352.3186,7.4312,0,U,33908,999,79400,0.016233,0.00031572,0
COSMOS 2251 DEB,1993-036DQ,2024-10-06T04:30:57.885408,14.60158419,0.0020943,74.0959,275.505,332.3357,154.465,0,U,33911,999,82346,0.0066825,0.00032407,0
COSMOS 2251 DEB,1993-036DR,2024-10-05T06:24:30.681792,14.47362867,0.0009353,74.0352,283.8639,106.2144,265.9774,0,U,33912,999,82166,0.0040564,0.00014881,0
COSMOS 2251 DEB,1993-036DS,2024-10-06T01:43:21.305568,14.45456662,0.0047909,74.0343,272.637,122.9281,297.6841,0,U,33913,999,82213,0.0025599,9.131e-05,0
COSMOS 2251 DEB,1993-036DT,2024-10-05T19:27:18.179712,13.71160242,0.030668,74.0941,8.2251,211.5626,289.7124,0,U,33914,999,78145,0.0036465,4.537e-05,0
COSMOS 2251 DEB,1993-036DU,2024-10-05T19:15:23.873760,14.32908393,0.0109953,74.0423,106.3883,304.2965,66.6149,0,U,33915,999,81551,0.0022031,6.416e-05,0
COSMOS 2251 DEB,1993-036DV,2024-10-05T19:06:36.216000,13.67885712,0.032715,74.0542,31.5493,299.2826,186.8956,0,U,33916,999,77969,0.0018593,2.263e-05,0
COSMOS 2251 DEB,1993-036DW,2024-10-05T23:49:57.369504,13.67411491,0.0337609,74.1059,111.1051,313.7795,43.5832,0,U,33917,999,77831,0.0016161,1.995e-05,0
COSMOS 2251 DEB,1993-036DY,2024-10-05T20:42:49.266144,15.01182423,0.0007016,74.0347,49.1217,232.207,127.8483,0,U,33919,999,82938,0.013521,0.00177977,0
COSMOS 2251 DEB,1993-036DZ,2024-10-06T00:54:03.547584,14.48488663,0.0041653,74.067,35.0956,154.7645,205.5562,0,U,33920,999,81867,0.010027,0.00038226,0
COSMOS 2251 DEB,1993-036EB,2024-10-05T23:52:16.215168,14.46973241,0.0021464,74.049,237.8058,96.4094,329.4417,0,U,33922,999,82355,0.0033425,0.00012181,0
COSMOS 2251 DEB,1993-036ED,2024-10-05T15:51:03.653280,13.49193117,0.0406941,73.9131,245.8344,0.2338,359.8882,0,U,33924,999,76895,0.0085684,8.968e-05,0
COSMOS 2251 DEB,1993-036EH,2024-10-05T21:56:00.407904,14.45744528,0.0063069,73.9258,146.6187,177.5371,182.611,0,U,33928,999,82385,0.0013853,5.006e-05,0
COSMOS 2251 DEB,1993-036EK,2024-10-05T20:54:02.835360,14.8288476,0.0010766,74.0135,212.5758,274.8708,148.1259,0,U,33930,999,82389,0.017942,0.00148763,0
COSMOS 2251 DEB,1993-036EL,2024-10-05T21:18:16.185312,14.90582733,0.0133314,74.0113,76.903,272.4136,86.1789,0,U,33931,999,82777,0.0070308,0.00082335,0
COSMOS 2251 DEB,1993-036EM,2024-10-05T17:32:23.899488,14.36698634,0.0037543,74.0378,33.4468,219.452,140.3899,0,U,33932,999,81774,0.0033509,9.942e-05,0
COSMOS 2251 DEB,1993-036EN,2024-10-05T17:07:56.298720,14.3202683,0.0074433,74.0886,128.6309,248.8569,110.4616,0,U,33933,999,81582,0.00155,4.267e-05,0
COSMOS 2251 DEB,1993-036EP,2024-10-05T20:22:52.112928,14.53576735,0.0015405,74.0413,202.2554,70.4103,289.8721,0,U,33934,999,82435,0.0047087,0.00019733,0
